image_name,x1,y1,x2,y2
940324827_3914963336.jpg,0.0020,0.1320,0.9070,0.9950
1144338460_4039018406.jpg,0.0260,0.0080,0.9470,0.9970
1174013221_4084550516.jpg,0.0000,0.0280,0.9870,0.8600
875931959_4029748811.jpg,0.0440,0.0160,0.9440,0.8940
1079203904_3701273367.jpg,0.0100,0.0080,0.8300,0.9800
1123136476_3905340921.jpg,0.0800,0.3970,0.9870,0.8470
1071186402_3870361395.jpg,0.0530,0.0170,0.8300,0.9800
1055057319_4056883862.jpg,0.0370,0.0500,0.9000,0.8950
1039439048_3955399196.jpg,0.0600,0.0130,0.9210,0.9880
1196011632_4007106731.jpg,0.0830,0.1370,0.8580,0.8140
1187872037_3824788034.jpg,0.0210,0.0160,0.9660,0.9120
1105845678_3849607906.jpg,0.4100,0.0880,0.6930,0.9850
1067063755_4009505862.jpg,0.0270,0.0140,0.9720,0.9900
951231191_4004064758.jpg,0.2070,0.0900,0.9380,0.9670
946019601_3812884514.jpg,0.1670,0.0870,0.8530,0.9300
1109421007_4061150777.jpg,0.2000,0.1590,0.9000,0.9440
1138371216_3823066293.jpg,0.0340,0.1090,0.9440,0.8560
1213406807_4010903812.jpg,0.1460,0.0780,0.8330,0.9150
939773666_3697581217.jpg,0.0100,0.0100,0.9930,0.9900
955409849_4124660730.jpg,0.0170,0.0200,0.9030,0.9680
1000206775_4000572183.jpg,0.0230,0.0310,0.8980,0.9750
1080226559_3766750409.jpg,0.0060,0.0030,0.9960,0.9500
936300413_3880083820.jpg,0.1330,0.0330,0.8730,0.9400
1130983303_4079929934.jpg,0.0670,0.0410,0.8930,0.8260
1209666864_3968534859.jpg,0.0020,0.0070,0.9830,0.9670
1037201154_3758314082.jpg,0.0430,0.0400,0.9880,0.9800
934426391_3947255635.jpg,0.0610,0.0420,0.8290,0.7970
1127625672_3751029457.jpg,0.0090,0.0330,0.9760,0.9650
956414143_3956075511.jpg,0.0100,0.0080,0.9870,0.9820
984551949_4048201996.jpg,0.2080,0.0060,0.8150,0.8640
1005633889_3869427500.jpg,0.0230,0.0870,0.9930,0.9200
976481116_4124902874.jpg,0.0580,0.0560,0.9830,0.8680
1068905286_4111210314.jpg,0.0600,0.1710,0.9360,0.8180
1191578046_4126386300.jpg,0.1990,0.1350,0.6790,0.7700
1158646348_3911758811.jpg,0.1030,0.0330,0.9480,0.8970
990961793_3690127079.jpg,0.1690,0.0870,0.8340,0.8900
1060174283_3787536672.jpg,0.0430,0.2740,0.6200,0.9570
1188268822_4034719110.jpg,0.0070,0.0030,0.9940,0.9930
1169330149_3678276965.jpg,0.1470,0.1700,0.9700,0.9880
1031895429_3951615502.jpg,0.0110,0.2980,0.9780,0.8940
1053138800_3694037235.jpg,0.3330,0.1390,0.9410,0.8880
1142216231_4047779166.jpg,0.0690,0.0100,0.8390,0.9970
1052763961_4062038209.jpg,0.0130,0.2130,0.9780,0.8040
1202602471_3927473856.jpg,0.0090,0.0130,0.9870,0.9870
1087367741_4019283456.jpg,0.3190,0.2510,0.9930,0.8110
1193528721_3679328711.jpg,0.3230,0.0770,0.8000,0.5730
1214840276_4041889724.jpg,0.0270,0.0600,0.8730,0.9980
1035095809_4058081659.jpg,0.0180,0.0370,0.8880,0.9530
1182695565_3933359323.jpg,0.1280,0.0700,0.8700,0.8410
1092749860_3749072238.jpg,0.1070,0.0250,0.8830,0.9930
1202187798_3939582919.jpg,0.0680,0.2030,0.9880,0.8980
1044648077_3942797179.jpg,0.0100,0.0150,0.9830,0.9710
1099260396_4040434004.jpg,0.0830,0.0840,0.8700,0.6540
1218106612_3700163133.jpg,0.1990,0.0050,0.9840,0.9400
1013481813_4113667558.jpg,0.0140,0.0170,0.9840,0.8370
1113418093_3949670083.jpg,0.0060,0.0080,0.9830,0.9530
1053666056_3884103970.jpg,0.2680,0.2110,0.9830,0.7480
1190574016_4057886539.jpg,0.0740,0.0080,0.8440,0.9810
1010866154_3822936342.jpg,0.0970,0.2700,0.9170,0.6000
969398000_4059264860.jpg,0.0040,0.1190,0.9620,0.9250
